vid,y_GT,y_pred
7047060920429792524,0,0
7043746381047008545,0,0
3xtnv52edctx7gq,1,1
7017986654732340521,1,1
7040585061250469158,1,1
3xha6nekemhtwqg,0,0
3xf254cgufipfa2,1,1
3xxhymwfjqiwaqk,0,0
7043748758198258975,0,0
7032614704946138404,0,0
7023059343138442511,1,1
7045925414622989605,1,1
7033669372057111815,0,0
7020227111260523809,1,1
3x2t7ggzjjt2rxy,1,1
7028703095957851407,1,1
3xve3qzbjw2z6ds,0,0
